learningrate,momentum,epochs,cv_accuracy
0.01,0.0,100,47.12152902993149
0.01,0.012500000000000001,100,43.88928957807428
0.01,0.025000000000000001,100,46.34367111431662
0.01,0.037500000000000006,100,43.63685539127299
0.01,0.050000000000000003,100,42.95456184637577
0.02,0.0,100,39.47024882798413
0.02,0.012500000000000001,100,39.47024882798413
0.02,0.025000000000000001,100,42.44572664983772
0.02,0.037500000000000006,100,42.53083303281645
0.02,0.050000000000000003,100,44.23368193292463
0.029999999999999999,0.0,100,41.34367111431663
0.029999999999999999,0.012500000000000001,100,40.8355571583123
0.029999999999999999,0.025000000000000001,100,43.29751172015868
0.029999999999999999,0.037500000000000006,100,43.97078975838443
0.029999999999999999,0.050000000000000003,100,38.88676523620628
0.040000000000000001,0.0,100,41.68049044356293
0.040000000000000001,0.012500000000000001,100,38.62279120086549
0.040000000000000001,0.025000000000000001,100,37.699603317706455
0.040000000000000001,0.037500000000000006,100,41.68049044356293
0.040000000000000001,0.050000000000000003,100,35.99567255679769
0.050000000000000003,0.0,100,39.980887125856476
0.050000000000000003,0.012500000000000001,100,41.34367111431663
0.050000000000000003,0.025000000000000001,100,41.1723764875586
0.050000000000000003,0.037500000000000006,100,36.24990984493329
0.050000000000000003,0.050000000000000003,100,40.06346916696718
